user_input,retrieved_contexts,response,reference,llm_context_precision_with_reference,llm_context_precision_without_reference
TC-032: Navigate to the Commercial Resource Center Page,"[""Ensures successful navigation to the Commercial Resource Center Page.\nGiven Go to 'rheem' site\nWhen click on the products button\nAnd click on the commercial\nAnd click on the Resource Center\nUser should be redirected to the Commercial Resource Center page.""]",P2,P3,0.9999999999,0.9999999999
TC-033: Verify Commercial Resource Center Header,"[""Verifies that the Commercial Resource Center header is displayed correctly.\nGiven Go to 'rheem' site\nWhen click on the products button\nAnd click on the commercial\nAnd click on the Resource Center\nThen Commercial Resource Center header is displayed on the page\nThe Commercial Resource Center header should be visible on the page.""]",P2,P2 ,0.0,0.0
TC-034: Broken Image Test on Commercial Resource Center Page,"[""Ensures that all images on the Commercial Resource Center page are properly loaded and not broken.\nGiven Go to 'rheem' site\nWhen click on the products button\nAnd click on the commercial\nAnd click on the Resource Center\nThen Verify the validity of each image on the website.\nAll images should be valid and properly displayed on the page.""]",P2,P2 ,0.0,0.9999999999
TC-036: Verify Commercial Resource Center Header,"[""Verifies that the Commercial Resource Center header is correctly displayed.\nGiven Go to 'rheem' site\nWhen click on the products button\nAnd click on the commercial\nAnd click on the Resource Center\nThen Commercial Resource Center header is displayed on the page\nThe Commercial Resource Center header should be visible on the page.""]",P2,P1,0.0,0.0
TC-037: Broken Image Testing on Commercial Resource Center Page,"[""Ensures that all images on the Commercial Resource Center Page are valid.\nGiven Go to 'rheem' site\nWhen click on the products button\nAnd click on the commercial\nAnd click on the Resource Center\nThen Verify the validity of each image on the website.\nAll images should be properly loaded and displayed.""]",P2,P2 ,0.0,0.0
TC-038: Navigate to the Featured Innovations Page,"[""Ensures successful navigation to the Featured Innovations Page.\nGiven go to 'rheem'\nWhen click on the products button\nAnd click on residential\nAnd click on featured innovations\nUser should be redirected to the Featured Innovations Page.""]",P2,P1,0.0,0.0
TC-039: Broken Image Test on Featured Innovations Page,"[""Ensures that there are no broken images on the Featured Innovations Page.\nGiven go to 'rheem'\nWhen click on the products button\nAnd click on residential\nAnd click on featured innovations\nThen check all images on the page are valid\nAll images should be properly loaded and displayed.""]",P2,P2 ,0.0,0.0
TC-040: Verify Product Listing on Featured Innovations Page,"[""Verifies that all expected products are listed on the Featured Innovations Page.\nGiven go to 'rheem'\nWhen click on the products button\nAnd click on residential\nAnd click on featured innovations\nThen confirm that all of the expected products are listed\nAll expected products should be displayed correctly on the page.""]",P2,P1,0.0,0.0
TC-041: Verify Motto Title on Featured Innovations Page,"[""Ensures that the motto title on the Featured Innovations Page is correct.\nGiven go to 'rheem'\nWhen click on the products button\nAnd click on residential\nAnd click on featured innovations\nThen confirm that motto title is correct\nThe motto title should be displayed correctly on the page.""]",P2,P3,0.0,0.0
TC-042: Navigate to the Commercial Featured Innovations Page,"[""Ensures successful navigation to the Commercial Featured Innovations Page.\nGiven go to 'rheem' site\nAnd click on the products\nAnd click on the Commercial\nWhen click on the featured innovations\nUser should be redirected to the Commercial Featured Innovations Page.""]",P2,P2 ,0.0,0.0
TC-043: Verify Title of the Commercial Featured Innovations Page,"[""Verifies that the title on the Commercial Featured Innovations Page is correct.\nGiven go to 'rheem' site\nAnd click on the products\nAnd click on the Commercial\nWhen click on the featured innovations\nThen check title the page\nThe title should be displayed correctly on the page.""]",P2,P2 ,0.0,0.0
TC-044: Verify Ribbon Headers on the Commercial Featured Innovations Page,"[""Verifies that the ribbon headers are displayed properly on the Commercial Featured Innovations Page.\nGiven go to 'rheem' site\nAnd click on the products\nAnd click on the Commercial\nWhen click on the featured innovations\nThen ribbons is displayed on the left top of the image and check the texts all headers\nRibbon headers should be correctly displayed with proper texts.""]",P2,P3,0.0,0.9999999999
TC-045: Verify Image Links and Sizes on the Commercial Featured Innovations Page,"[""Ensures that all images on the Commercial Featured Innovations Page are correctly linked and sized.\nGiven go to 'rheem' site\nAnd click on the products\nAnd click on the Commercial\nWhen click on the featured innovations\nThen All images links are controlled with size\nAll image links should be valid, and images should have correct sizes.""]",P2,P2 ,0.0,0.0
TC-046: Verify Texts and Titles on the Commercial Featured Innovations Page,"[""Ensures that all texts and titles on the Commercial Featured Innovations Page are correct and contain trademarks where applicable.\nGiven go to 'rheem' site\nAnd click on the products\nAnd click on the Commercial\nWhen click on the featured innovations\nAnd verify the titles of the texts\nThen verify the texts contains ® or ™ or Rheem\nAll texts and titles should be correctly displayed, containing appropriate trademarks.""]",P2,P1,0.0,0.0
TC-047: Test Rheem  Residential Water  Heaters text is  visible and true,"['This test ensures that the descriptive text for Rheem Residential Water Heaters is accurate.\nGiven Go to ""rheem"" website\nWhen click on the products button\nAnd click on the water heating button\nThen Rheem Residential Water Heaters text is displayed on the page\nThe Rheem Residential Water\n Heaters text should be\n correctly displayed.']",P2,P2 ,0.0,0.0
TC-048: Test Explore  Products panel's products and more button are visible,"['This test ensures that the \'Explore Products\' panel correctly displays products and that the more button functions.\nGiven Go to ""rheem"" website\nWhen click on the products button\nAnd click on the water heating button\nWhen clicked more button\nThen verify text in the Explore Products panel\'s products\nThe \'Explore Products\' panel \nshould show the expected\n products and the more \nbutton should work.']",P2,P2 ,0.0,0.9999999999
TC-049: Testing  that the correct  page is opened,"['This test ensures that the Warranties Form page redirects to the correct page.\nGiven Go to ""rheem"" website\nAnd click on the Warranties button\nThen should be redirected to the commercial resource center page\nThe user should be\nsuccessfully redirected\nto the commercial resource\n center page.']",P2,P1,0.0,0.0
TC-050: Main title test of Warranties Page,"['This test ensures that the main title on the Warranties Form Page is correct.\nGiven Go to ""rheem"" website\nAnd click on the Warranties button\nThen verify the main title is correct\nThe main title of the page should be\n correct and displayed properly.']",P2,P3,0.0,0.0
"TC-051: Testing  Register Your  Product, Your Warranty, and Need Warranty Service Panels' Headers","['This test ensures that the headers of warranty-related panels are displayed correctly.\nGiven Go to ""rheem"" website\nAnd click on the Warranties button\nThen verify headers are correct\nThe headers of the ""Register Your Product"", ""Your Warranty"", and ""Need Warranty Service"" panels should be correct.']",P2,P3,0.9999999999,0.9999999999
"TC-052: Testing that ""Where's my serial number"" hypertext","['This test ensures that clicking on the ""Where\'s my serial number"" link redirects to the correct pop-up.\nGiven Go to ""rheem"" website\nAnd click on the Warranties button\nWhen click on hyperTexts\nThen should be redirected to the correct pop-up\nThe ""Where\'s my serial number"" hypertext should open the correct pop-up.']",P2,P1,0.9999999999,0.9999999999
"TC-053: Testing that ""Register Your Product"" Panel's Buttons Lead to Correct Pages","['This test ensures that the ""Register Your Product"" panel buttons lead to their respective pages.\nGiven Go to ""rheem"" website\nAnd click on the Warranties button\nWhen click on ""<Button>"" button\n\nwater heating >>>>>>>> \tWater Heating Warranty Registration Page\nheating and cooling>>>>>>>> \tHeating and Cooling Warranty Registration Page\npool and spa>>>>>>>> \tPool and Spa Warranty Registration Page\nwater heating verify>>>>>>>> \tWater Heating Verification Page\nheating and cooling verify>>>>>>>> \tHeating and Cooling Verification Page\nClicking on each button should correctly redirect to its respective page.']",P2,P1,0.9999999999,0.9999999999
"""TC-001: Testing that BIM  Resources' elements are  working""","['This test checks if the BIM Resources button functions properly on the Commercial Product Sizing page. The goal is to ensure that the button redirects to the correct BIM Resources page and is accessible.\nGiven Go to ""rheem"" website\n When click on the products button\n And click on commercial button\nAnd click on the Project Sizing button\nWhen click on the ""BIM Resources"" button\nThen should be redirected to the ""BIM Resources page"" page\nUser should be redirected to the\n “BIM Resources page” upon clicking\n the BIM Resources button.']",P1,P1,0.9999999999,0.9999999999
TC-002: Checking valid  Submission Validation  with Pool And Spa,"['This test validates the successful submission of the Pool and Spa contact form with valid input data. The objective is to confirm that the form functions as expected and captures user input correctly.\nGiven go to the ""rheem"" Page\nAnd click on the Contact button\nAnd click on the Pool And Spa button\nAnd type the Full Name ""<full Name>"" on First\nAnd type the Address LineFirst ""<address Line1>"" on Address first Line box\nAnd type the Address Address secondLine ""<address Line2>"" on Address second line box\nAnd type the city ""<city>"" city box\nAnd User select the ""<states Province>"" on States Provinces Type dropdown\nAnd User selects ""<country>"" from the Country dropdown\nAnd type the postalCode ""<zipcode>"" on postalCode box\nAnd type the Company Name ""<company Name>"" on Company box\nAnd type the Phone ""<cell>"" on Phone box\nAnd type Email ""<email>"" on Email box\nAnd User selects ""<subtopic>"" from the Select Subtopic dropdown\nAnd type the Model Number ""<model Number>"" on Model Number box\nAnd type the Serial Number""<serial Number>"" on Serial Number box\nAnd type the Plumber Name ""<plumber Name>"" on Plumber Name box\nAnd type the Plumber phone ""<plumber Phone>"" on Plumber phone box\nAnd type the Comments ""<comments>"" on Comments box\nThen Click the Submit Button Pool And Spa\nThe user should be able to fill out all required fields with valid data and successfully submit the form. A confirmation or success message should appear, or the user should be redirected to a confirmation page (depending on the application’s design).']",P1,P1,0.0,0.0
TC-003: Heating and  Cooling Page - Residential : Text contains the header,"['This test verifies that the header text on the Heating and Cooling Residential page contains the correct content. The objective is to ensure that the header accurately represents the page content and provides a clear understanding of what the user is about to see.\nGiven go to the ""rheem"" Page\nAnd click the products\nAnd click the residential\nAnd click the heating and cooling button\nThen check text contains the header\nThe page should display the correct header text ( “Rheem Residential Heating and Cooling Products.”), confirming successful navigation.']",P3,P2,0.9999999999,0.9999999999
TC-004: Broken Image Test,['This test verifies that there are no broken images on the Warranties Form page. The objective is to ensure that all images are loading properly and contribute to a positive user experience.\nGo to rheem.com\nClick on the Products button \nClick on the Commercial button\nClick on the Project Sizing button\nVerify all images on the page are valid (no broken links or missing images)\nAll images on the Product Sizing page should load correctly without any broken or missing images'],P3,P2,0.0,0.0
TC-005 : Navigate to the Commercial Product Sizing Page on the Rheem Website,"['This test ensures there are no broken images on the Commercial Product Sizing page. The purpose is to validate that all images on this page load correctly and are visually appealing to users.\nGiven Go to ""rheem"" website\n When click on the products button \nAnd click on commercial button\nAnd click on the Project  Sizing button\n Then should be clicked\nThe user is successfully directed to the Commercial Product Sizing page. The click action on the “Product Sizing” link should be functional and responsive.']",P2,P2 ,0.0,0.0
TC006: Verifying Privacy Policy Link,"['This test verifies if the Privacy Policy link in the footer correctly opens the Privacy Notice page. The objective is to ensure that users can access the privacy policy and the page loads with the correct information.\nGiven I am on the Rheem homepage When I scroll to the footer of the page\n And I click on the ""Privacy Policy"" link\nThen the Privacy Notice page should open\nAnd I verify the URL of the opened page\nAnd I verify the presence of the ""Privacy Notice"" heading and ""Rheem Manufacturing Company Privacy Notice"" subheading\nThe Privacy Notice page opens\nThe URL of the page should be https://www.rheem.com/legal/\nThe page should display the heading ""Privacy Notice"" and the subheading ""Rheem Manufacturing Company Privacy Notice""']",P2,P1,0.0,0.0
TC-007:Verify Page URL,"['This test verifies if the user is redirected to the correct page URL when navigating through the website. The purpose is to ensure that the correct page is loaded when selecting a certain product category. The steps involve visiting the main page, navigating through different menu items, and checking the final URL.\nGiven go to the ""rheem"" com\nAnd click the products button\nAnd click the commercial button\nAnd click the heating and cooling button on list\nThen check the current url is equals to ""https://www.rheem.com/products/commercial/heating-and-cooling/""\nURL should be\n ""https://www.rheem.com/\nproducts/commercial/heating-and-\ncooling/""']",P2,P3,0.9999999999,0.9999999999
TC-008:Validate Image Links,"['This test checks if all images on the specified page have valid links and are displayed correctly. The purpose is to ensure that visual elements like images are properly loaded and functioning, improving user experience. The test involves inspecting all images on the page and validating their links.\nGiven Go to the ""rheem""\nWhen click on the products button home page\nAnd click on the commercial button\nThen click the water heating button\nThen All images links are controlled with size Water Heating Commercial page\nAll images should have valid links and correct sizes']",P3,P3,0.0,0.0
TC-009:Verify Tankless Heater Link,"['This test ensures that the ""commercial tankless water heaters"" link, highlighted in red text, is visible and functional. The link should correctly redirect the user to the intended page. The steps involve checking the visibility of the link and verifying that the red text matches the design specifications.\nGiven Go to the ""rheem""\nWhen click on the products button home page\nAnd click on the commercial button\nThen click the water heating button\nThen check the visibility of the connection and that it goes to the correct address\nLink should be visible and redirect correctly']",P2,P1,0.9999999999,0.9999999999
TC-010:Verify Page Navigation,"['This test ensures that the user is redirected to the correct ""water heating"" page after clicking the appropriate navigation buttons. The purpose is to verify that the page navigation works seamlessly and users can access the desired content.\nGiven Go to ""rheem"" website\nWhen click on the products button\nAnd click on the water heating button\nThen should be redirected to the water heating page\nUser should be redirected to Water Heating Page']",P2,P1,0.0,0.0
TC-011:Broken Images Test,"['This test verifies that there are no broken images on the Warranties Form page. The objective is to ensure that all images are loading properly and contribute to a positive user experience.\nGiven Go to ""rheem"" website\nAnd click on the Warranties button\nThen Check all images on the Warranties Form Page are valid\nAll images should be valid (not broken)']",P2,P2,0.9999999999,0.9999999999
TC-012:Validate Intro Text,"['This test checks the accuracy of the introductory text on the tankless condensing page. The objective is to confirm that the introductory content is aligned with the page\'s theme and product information.\nGiven go to the ""rheem"" comm\nWhen click on the products button\nAnd click on residential\nAnd click on tankless condensing\nThen Check the intro text is correct\nIntro text should be correct']",P3,P2,0.0,0.0
TC-013:Verify Contact Us Button,"['This test ensures that the ""Contact Us"" button on the Residential Resource Center page functions correctly, directing users to the correct contact page. The objective is to validate that the button works as intended and users can easily find contact information.\nGiven Go to ""rheem"" website\nWhen click on the products button\nAnd click on the Resource Center button\nWhen click on Contact Us button\nThen should be directed to the contact rheem page\nUser should be redirected to the Contact Rheem page']",P2,P1,0.0,0.0
TC-014: Verify the title of the Water Heating Commercial page,"['This test ensures that the title of the Water Heating Commercial page is displayed correctly.\nGiven Go to ""rheem""\nWhen click on the products button home page\nAnd click on the commercial button\nThen click the water heating button\nThen check title the Water Heating page\nThe title of the Water Heating Commercial page should be displayed correctly.']",P2,P1,0.0,0.0
TC-015: Check the left panel products name Water Heating Commercial page,"['This test ensures that all product names in the left panel are listed correctly.\nGiven Go to ""rheem""\nWhen click on the products button home page\nAnd click on the commercial button\nThen click the water heating button\nAnd click the more button on left side Water Heating page\nThen check whether the names of all products are correct Water Heating\nAll product names in the left panel should be correctly listed and match the expected values.']",P3,P1,0.0,0.0
